modern_pdes,comet_id,comet_name,perihelion_date,apparition_year,is_periodic,raw_status_source,event_case,current_magnitude_provenance,sbdb_M1,sbdb_K1,sbdb_nuclear_biased,current_modeled_peak_mag,priority
1881 K1,C/1881 K1,C/1881 K1 (Great comet),1881-06-16,1881,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1881 N1,C/1881 N1,C/1881 N1 (Schaeberle),1881-08-22,1881,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1881 S1,C/1881 S1,C/1881 S1 (Barnard),1881-09-14,1881,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1881 W1,C/1881 W1,C/1881 W1 (Swift),1881-11-20,1881,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
226P,226P,226P/Pigott-LINEAR-Kowalski,1882-11-27,1882,True,AERITH,expected_not_seen,horizons_tmag,10.1,21.0,False,13.655,medium_sbdb_good
289P,289P,289P/Blanpain,1882-08-10,1882,True,AERITH,expected_not_seen,horizons_tmag,22.0,4.5,True,22.815,high_nuclear_biased
1882 F1,C/1882 F1,C/1882 F1 (Wells),1882-06-11,1882,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1882 R1,C/1882 R1,C/1882 R1 (Great September comet),1882-09-17,1882,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1882 R2,C/1882 R2,C/1882 R2 (Barnard),1882-11-13,1882,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
10P,10P,10P/Tempel 2,1883-11-20,1883,True,AERITH,expected_not_seen,horizons_tmag,14.7,4.5,True,16.702,high_nuclear_biased
26P,26P,26P/Grigg-Skjellerup,1883-03-18,1883,True,AERITH,retrospective_not_observed,horizons_tmag,16.5,5.5,True,15.104,high_nuclear_biased
54P,54P,54P/de Vico-Swift-NEAT,1883-02-01,1883,True,AERITH,expected_not_seen,horizons_tmag,14.2,12.25,False,16.967,medium_sbdb_good
1883 D1,C/1883 D1,C/1883 D1 (Brooks-Swift),1883-02-19,1883,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1884 A1,C/1884 A1,C/1884 A1 (Ross),1883-12-25,1883,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
12P,12P,12P/Pons-Brooks,1884-01-26,1884,True,AERITH,expected_seen,horizons_tmag,5.0,15.0,False,2.596,medium_sbdb_good
14P,14P,14P/Wolf,1884-11-18,1884,True,AERITH,unexpected_seen,horizons_tmag,15.6,4.5,True,16.083,high_nuclear_biased
5D,5D,5D/Brorsen,1884-09-13,1884,True,AERITH,expected_not_seen,horizons_tmag,8.3,10.0,False,6.728,medium_sbdb_good
6P,6P,6P/d'Arrest,1884-01-14,1884,True,AERITH,expected_not_seen,horizons_tmag,15.9,8.5,False,18.704,medium_sbdb_good
2P,2P,2P/Encke,1885-03-08,1885,True,AERITH,expected_seen,horizons_tmag,15.6,4.5,True,13.0,high_nuclear_biased
41P,41P,41P/Tuttle-Giacobini-Kresak,1885-01-30,1885,True,AERITH,expected_not_seen,horizons_tmag,16.9,4.5,True,17.712,high_nuclear_biased
80P,80P,80P/Peters-Hartley,1885-11-03,1885,True,AERITH,expected_not_seen,horizons_tmag,11.8,15.75,False,16.698,medium_sbdb_good
8P,8P,8P/Tuttle,1885-09-11,1885,True,AERITH,expected_seen,horizons_tmag,14.6,4.5,True,15.805,high_nuclear_biased
